sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
732,1782728491.007446766,25.081432123,3500459,5,0.2915642,0.2063204,-0.0100188,0.9878357,0.2146734,0.0509449,-0.0636243,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185000,0.0642954,0.0480927
733,1782728491.061735392,25.087449979,3500513,5,0.2915642,0.2063084,-0.0100188,0.9878477,0.2146495,0.0509330,-0.0636482,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185240,0.0642954,0.0480927
734,1782728491.093068838,25.140947168,3500544,5,0.2915762,0.2063084,-0.0100308,0.9878477,0.2146495,0.0509449,-0.0636362,0.2967654,-0.2101793,0.0327529,0.9874642,-0.1185120,0.0642834,0.0480807
735,1782728491.123381853,25.172703569,3500575,5,0.2915642,0.2063084,-0.0100308,0.9878597,0.2146734,0.0509449,-0.0636362,0.2967414,-0.2101554,0.0327289,0.9874762,-0.1184760,0.0643193,0.0480807
736,1782728491.158464432,25.203503141,3500610,5,0.2915522,0.2063084,-0.0100188,0.9878357,0.2146375,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0642954,0.0480927
737,1782728491.192833185,25.238202100,3500644,5,0.2915522,0.2063084,-0.0100188,0.9878357,0.2146614,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185719,0.0642834,0.0480807
738,1782728491.225109816,25.272174444,3500676,5,0.2915762,0.2062965,-0.0100188,0.9878117,0.2146614,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1185000,0.0642954,0.0480927
739,1782728491.258280993,25.304499152,3500709,5,0.2915642,0.2063084,-0.0100308,0.9878237,0.2146614,0.0509449,-0.0636123,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1184880,0.0642954,0.0480927
740,1782728491.291340351,25.337575243,3500743,5,0.2915522,0.2062965,-0.0100308,0.9878357,0.2146734,0.0509569,-0.0636362,0.2967654,-0.2101554,0.0327049,0.9874762,-0.1185480,0.0642954,0.0481047
741,1782728491.324854612,25.370891407,3500776,5,0.2915522,0.2063084,-0.0100428,0.9878477,0.2146255,0.0509569,-0.0636362,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1185000,0.0642954,0.0480927
742,1782728491.358094454,25.404353718,3500809,5,0.2915642,0.2062965,-0.0100428,0.9878237,0.2146375,0.0509569,-0.0636243,0.2967414,-0.2101554,0.0327289,0.9874522,-0.1184760,0.0643074,0.0480807
743,1782728491.390340805,25.437555734,3500841,5,0.2915402,0.2062965,-0.0100188,0.9878117,0.2146614,0.0509449,-0.0636482,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1184880,0.0642954,0.0480807
744,1782728491.422684669,25.470295463,3500874,5,0.2915762,0.2063084,-0.0100068,0.9878597,0.2146495,0.0509449,-0.0636482,0.2967774,-0.2101793,0.0327409,0.9874762,-0.1185000,0.0643193,0.0480927
745,1782728491.460740805,25.502194045,3500912,5,0.2915522,0.2062845,-0.0100428,0.9878477,0.2146614,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0642954,0.0481047
746,1782728491.493084908,25.540225622,3500944,5,0.2915402,0.2062965,-0.0100428,0.9878357,0.2146495,0.0509569,-0.0636482,0.2967414,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0643074,0.0480807
747,1782728491.526344776,25.572349012,3500977,5,0.2915642,0.2063084,-0.0100428,0.9878357,0.2146495,0.0509330,-0.0636362,0.2967774,-0.2101554,0.0327409,0.9874522,-0.1185000,0.0642834,0.0480927
